Video ID,Video Title,Author,Comment,Timestamp,Timestamp Link,Date Added
RQ0pOOJAwlI,Hinderances | The Sangha UK #172 | 11.26.23,@issac7787,23:20 Experienced energy without measure.,23:20,https://youtu.be/RQ0pOOJAwlI?t=1400,2026-05-26
RQ0pOOJAwlI,Hinderances | The Sangha UK #172 | 11.26.23,@issac7787,"18:00 Discussion on body awareness. Mudras (reminds me how yogis from india practice this sort of meditation where they try feel force of energy between hand, they call it chakara)",18:00,https://youtu.be/RQ0pOOJAwlI?t=1080,2026-05-26
RQ0pOOJAwlI,Hinderances | The Sangha UK #172 | 11.26.23,@issac7787,9:00 telling kid not to do something will drive them more towards doing it,9:00,https://youtu.be/RQ0pOOJAwlI?t=540,2026-05-26
pIg-mdX2kK8,Andrew  10 8 23,@whitenozze,1:01:15,1:01:15,https://youtu.be/pIg-mdX2kK8?t=3675,2026-05-26
ZEUBit650sc,"No Place To Go, You Will Never Be Late | The Sangha US #85 | 09.23.23",@MountainDharma,12:28 ❤,12:28,https://youtu.be/ZEUBit650sc?t=748,2026-05-26
ZEUBit650sc,"No Place To Go, You Will Never Be Late | The Sangha US #85 | 09.23.23",@OnerousEthic,"19:15 “…humanity has never had a good government.” Bravo! I couldn’t agree more!

And I agree that a benevolent dictatorship would be an improvement on democracy as it exists today.",19:15,https://youtu.be/ZEUBit650sc?t=1155,2026-05-26
XxICubeetqI,Who Should Be Teaching The Dhamma? | Cathal #7 | 09.28.23,@issac7787,47:00 Thich nhat hanh explain it better in context of power,47:00,https://youtu.be/XxICubeetqI?t=2820,2026-05-26
XxICubeetqI,Who Should Be Teaching The Dhamma? | Cathal #7 | 09.28.23,@issac7787,19:20 recognize dukkha from a distance,19:20,https://youtu.be/XxICubeetqI?t=1160,2026-05-26
y_O2ayIypCw,Gerry #15 | 09.10.23,@basketballTaco,"34:14 ""He didn't criticize me as much as I could!"" 😂 Brilliant—even the inner critic can be a toy.",34:14,https://youtu.be/y_O2ayIypCw?t=2054,2026-05-26
WlnfKlvqDn4,Brahmalokas and Infinite Awareness | The Sangha UK #157 | 09.10.23,@whitenozze,46:05,46:05,https://youtu.be/WlnfKlvqDn4?t=2765,2026-05-26
r1XSxCAmKe0,Rinse and Repeat - Enjoy this Moment | Gerry #11 | 07.26.23,@whitenozze,8:17,8:17,https://youtu.be/r1XSxCAmKe0?t=497,2026-05-26
r1XSxCAmKe0,Rinse and Repeat - Enjoy this Moment | Gerry #11 | 07.26.23,@whitenozze,5:40,5:40,https://youtu.be/r1XSxCAmKe0?t=340,2026-05-26
J6jES2jskbw,"Anatta, the Fetters and the Sotpanna Path | The Sangha UK #133 | 05.27.23",@MountainDharma,18:00 - 23:00 another amazing several minutes that summarizes the whole process of this practice (from victim/loser to winner to the transcendent out of the fight/above the world 😊,18:00,https://youtu.be/J6jES2jskbw?t=1080,2026-05-26
J6jES2jskbw,"Anatta, the Fetters and the Sotpanna Path | The Sangha UK #133 | 05.27.23",@MountainDharma,18:00 - 23:00 another amazing several minutes that summarizes the whole process of this practice (from victim/loser to winner to the transcendent out of the fight/above the world 😊,23:00,https://youtu.be/J6jES2jskbw?t=1380,2026-05-26
